;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
493;0;16;1;1;1;1;0;18;1;309;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
496;0;15;1;2;1;1;0;19;0;266;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
507;0;16;1;2;1;1;0;18;1;136;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
510;0;15;1;2;1;1;0;18;0;186;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
512;0;15;0;2;2;1;0;19;0;273;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
513;3;6;1;4;2;1;2;22;0;252;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
520;0;0;0;1;1;1;0;17;0;97;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
535;0;2;0;1;1;1;2;19;0;300;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
537;0;11;1;2;1;1;0;18;0;300;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0
539;0;15;1;1;1;1;0;19;0;300;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
543;0;0;1;5;1;1;0;19;1;73;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
550;0;2;1;6;1;1;2;19;1;81;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
556;0;23;0;6;2;1;2;19;0;252;1;0;0;0;2;1;1;0;0;0;1;1;0;0;0;0;0
564;0;17;0;1;1;1;0;17;0;209;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
567;0;23;0;3;1;1;2;18;0;209;1;0;0;0;3;1;1;0;0;0;1;1;0;0;0;0;0
573;0;24;1;2;1;1;2;17;0;331;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
574;0;19;0;1;1;1;0;17;0;249;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
576;0;11;0;1;1;1;0;18;0;299;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
577;0;11;0;1;1;1;0;19;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
580;0;19;0;2;1;1;0;18;0;209;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
595;0;16;0;1;1;1;0;18;0;323;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
600;0;24;1;3;1;1;2;18;0;323;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
602;0;2;1;5;1;1;2;18;0;119;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
603;0;11;0;1;1;1;0;18;0;119;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
606;0;11;0;1;1;1;0;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
641;0;20;0;2;1;1;2;19;0;305;1;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0
660;0;20;1;5;1;1;2;18;0;109;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
665;0;23;0;1;1;1;2;20;1;343;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
685;0;17;0;1;1;1;0;19;0;109;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
689;0;0;0;3;1;1;0;17;0;79;1;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0
695;0;23;0;5;1;1;2;18;0;80;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
698;0;19;1;2;1;1;0;18;0;80;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
699;0;17;0;1;1;1;0;20;0;313;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
712;0;16;1;1;1;1;0;20;0;78;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
719;1;5;1;1;2;1;0;20;0;286;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
721;1;8;1;4;1;1;0;19;1;59;1;32;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
729;1;8;1;3;1;1;0;18;0;256;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
731;1;8;1;2;1;1;0;19;0;144;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
762;1;8;1;1;1;1;0;20;0;59;1;32;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
774;1;8;1;4;1;1;0;17;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
809;1;9;1;1;1;1;2;19;1;59;1;105;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
827;2;18;0;1;1;1;0;17;0;180;1;0;0;0;2;1;1;0;0;0;1;0;0;0;1;0;0
830;2;18;1;1;1;1;0;17;0;100;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
849;2;21;0;2;1;1;2;19;0;97;1;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0
853;2;12;1;1;1;1;0;18;0;82;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
