;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
522;0;0;1;2;1;1;0;17;0;326;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
528;0;23;1;4;1;1;2;20;1;207;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
534;0;11;0;2;1;1;0;18;1;300;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0
547;0;2;0;2;1;1;2;18;0;73;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
548;0;16;1;1;1;1;0;18;0;73;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
552;0;11;1;5;1;1;0;19;0;81;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
555;0;24;0;2;2;1;2;20;0;252;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
561;0;0;1;1;2;1;0;20;0;252;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
566;0;17;1;1;1;1;0;18;1;209;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
569;0;11;1;4;1;1;0;18;0;213;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
572;0;19;0;1;1;1;0;19;0;224;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
579;0;17;1;1;1;1;0;18;0;209;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
586;0;17;1;1;1;1;0;17;1;209;1;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0
594;0;7;0;4;1;1;1;20;1;313;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
598;0;24;1;3;1;1;2;18;0;323;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
604;0;20;0;3;1;1;2;19;1;305;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
605;0;16;0;2;1;1;0;18;0;305;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
609;0;11;0;2;1;1;0;18;1;313;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
612;0;7;0;4;1;1;1;23;1;120;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
614;0;16;1;1;1;1;0;18;0;119;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
615;0;2;0;2;1;1;2;20;0;305;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
617;0;15;0;1;1;1;0;18;0;305;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
622;0;19;1;5;1;1;0;19;0;305;1;0;0;0;3;1;1;0;0;0;1;0;0;1;0;0;0
625;0;20;0;2;1;1;2;19;0;289;1;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0
627;0;16;0;1;1;1;0;20;0;305;1;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0
629;0;24;1;3;1;1;2;18;0;119;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
633;0;20;0;4;1;1;2;18;1;34;1;67;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
634;0;20;0;1;1;1;2;22;1;321;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
